episode,episode_mean_reward,episode_total_reward
340,-3.1000000000000005,-24.800000000000004
341,-1.3499999999999999,-10.799999999999999
342,-3.1000000000000005,-24.800000000000004
343,-1.3499999999999999,-10.799999999999999
344,1.925,7.7
345,-2.1,-16.8
346,-3.1000000000000005,-24.800000000000004
347,-2.1,-16.8
348,-2.1,-16.8
349,-2.1,-16.8
350,2.2666666666666666,6.8
351,-2.1,-16.8
352,5.0,5.0
353,-2.1,-16.8
354,-2.1,-16.8
355,-2.1,-16.8
356,-2.1,-16.8
357,-2.1,-16.8
358,5.0,5.0
359,-2.1,-16.8
360,-2.1,-16.8
361,2.2666666666666666,6.8
362,5.0,5.0
363,2.2666666666666666,6.8
364,5.0,5.0
365,-2.1,-16.8
366,-2.1,-16.8
367,-2.1,-16.8
368,-2.1,-16.8
369,5.0,5.0
370,-2.1,-16.8
371,-2.1,-16.8
372,2.2666666666666666,6.8
373,-2.1,-16.8
374,-3.1000000000000005,-24.800000000000004
375,-2.1,-16.8
376,-1.3499999999999999,-10.799999999999999
377,-2.1,-16.8
378,2.2666666666666666,6.8
379,-0.9750000000000001,-7.800000000000001
380,-1.3499999999999999,-10.799999999999999
381,-2.1,-16.8
382,1.5833333333333333,9.5
383,-2.1,-16.8
384,2.2666666666666666,6.8
385,2.2666666666666666,6.8
386,-3.1000000000000005,-24.800000000000004
387,2.2666666666666666,6.8
388,-2.1,-16.8
389,-2.1,-16.8
390,1.925,7.7
391,-2.1,-16.8
392,-2.1,-16.8
393,-2.1,-16.8
394,1.72,8.6
395,-2.1,-16.8
396,5.0,5.0
397,5.0,5.0
398,-2.1,-16.8
399,-2.1,-16.8
400,-2.1,-16.8
401,-3.1000000000000005,-24.800000000000004
402,-2.1,-16.8
403,1.72,8.6
404,2.2666666666666666,6.8
405,2.2666666666666666,6.8
406,-3.1000000000000005,-24.800000000000004
407,2.2666666666666666,6.8
408,-1.7249999999999999,-13.799999999999999
409,-3.1000000000000005,-24.800000000000004
410,0.15000000000000002,1.2000000000000002
411,5.0,5.0
412,-2.1,-16.8
413,-2.1,-16.8
414,-1.3499999999999999,-10.799999999999999
415,-2.1,-16.8
416,5.0,5.0
417,1.925,7.7
418,-2.1,-16.8
419,-2.1,-16.8
420,-3.1000000000000005,-24.800000000000004
421,1.72,8.6
422,1.925,7.7
423,5.0,5.0
424,-1.7249999999999999,-13.799999999999999
425,-2.1,-16.8
426,1.5833333333333333,9.5
427,-3.1000000000000005,-24.800000000000004
428,-2.1,-16.8
429,5.0,5.0
430,-1.7249999999999999,-13.799999999999999
431,2.2666666666666666,6.8
432,5.0,5.0
433,1.925,7.7
434,2.2666666666666666,6.8
435,-3.1000000000000005,-24.800000000000004
436,-2.1,-16.8
437,2.2666666666666666,6.8
438,1.925,7.7
439,-3.1000000000000005,-24.800000000000004
440,-2.1,-16.8
441,-2.1,-16.8
442,-3.1000000000000005,-24.800000000000004
443,1.72,8.6
444,5.0,5.0
445,2.2666666666666666,6.8
446,-2.1,-16.8
447,5.0,5.0
448,5.0,5.0
449,1.72,8.6
450,-2.1,-16.8
451,-1.7249999999999999,-13.799999999999999
452,5.0,5.0
453,-0.9750000000000001,-7.800000000000001
454,-3.1000000000000005,-24.800000000000004
455,1.925,7.7
456,-2.1,-16.8
457,2.2666666666666666,6.8
458,5.0,5.0
459,1.925,7.7
460,-3.1000000000000005,-24.800000000000004
461,-3.1000000000000005,-24.800000000000004
462,-2.1,-16.8
463,-2.1,-16.8
464,-2.1,-16.8
465,-3.1000000000000005,-24.800000000000004
466,5.0,5.0
467,-3.1000000000000005,-24.800000000000004
468,-2.1,-16.8
469,5.0,5.0
470,-3.1000000000000005,-24.800000000000004
471,2.2666666666666666,6.8
472,1.72,8.6
473,-2.1,-16.8
474,-2.1,-16.8
475,2.2666666666666666,6.8
476,2.2666666666666666,6.8
477,5.0,5.0
478,1.72,8.6
479,5.0,5.0
480,-2.1,-16.8
481,5.0,5.0
482,5.0,5.0
483,5.0,5.0
484,1.925,7.7
